Channel,Package,Position,Satellite,Language,Resolution,Encryption,Genre,Type
Canal Iberoamericano,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Education,TV
Telecentro,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
RTU,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
UCSG TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Religious,TV
Congreso TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Political,TV
TNH,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Radio Nacional de Honduras,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Jalisco TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Telefuturo,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Azteca Guatemala,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,General,TV
TV Cuatro 4.2,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
TV Cuatro 4.3,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
TV Cuatro 4.4,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
La Voz de María,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Religious,TV
Teleceiba,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
UNAH UTV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Telesistema,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Tele Antillas,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Coral 39,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Color Visión 9,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Canal 25,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Red Nacional de Noticias,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,News,TV
Super Canal,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Cinevisión Canal 19,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Sport Visión 35,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Sports,TV
Megavisión,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Noticias 16,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,News,TV
Amé 47,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
WMTI,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Naranja TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Canal del Sol,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Canal America,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Su Mundo TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
DTV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Q'hubo TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
HCH,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Canal 11,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
CCI Channel,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
JBN TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,Religious,TV
RTV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Une TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Nuevo Mundo TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
EDN TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
TeleProgreso,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Panamericana TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Oromar TV,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Ecuavisa Internacional,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Gamavisión,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Telemicro 5,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
Digital 15,,117° W,EUTELSAT 117 West A,Spanish,SD,Free-to-air,,TV
