channelid,channel_category,trackers
7_1543_3176_0_1107_17502_1,{'General'},524
7_1399_2114_0_1107_17501_1,{'General'},438
7_1558_2941_0_7_71_133,{'Documentary'},2444
7_1534_2956_0_1089_12061_1,{'General'},39
7_1500_2827_0_1025_10327_1,{'General'},47
7_1531_2496_0_1082_20002_1,{'General'},1531
7_26_838_0_5_776_133,{'General'},620
7_1448_1779_0_1031_5309_1,{'Unknown'},1427
7_1448_1774_0_1031_5310_1,{'General'},1550
7_1389_1890_0_1089_12030_1,{'Children'},898
7_101_860_0_1107_17500_1,{'General'},1525
7_19_671_0_1031_5309_1,{'Unknown'},1508
7_21_770_0_7_71_133,{'Documentary'},2353
7_1531_2504_0_1082_20010_1,{'General'},1362
7_1543_3175_0_1107_17501_1,{'General'},1579
7_1386_1439_0_1082_20004_1,{'General'},1260
7_14_588_0_1005_13313_1,{'Unknown'},2729
7_1399_2117_0_1107_17504_1,{'General'},1471
7_23_790_0_1091_28810_1,"{'General', 'Music', 'Children'}",1240
7_1543_3180_0_1107_17506_1,{'General'},1254
7_19_670_0_1031_5312_1,{'Unknown'},1551
7_1399_2113_0_1107_17500_1,{'General'},1762
7_1446_1768_0_1025_10331_1,"{'News', 'General', 'Politics'}",36
7_1399_2118_0_1107_17505_1,{'General'},465
7_101_864_0_1107_17504_1,{'General'},650
7_20_287_0_1082_20010_1,{'General'},119
7_1399_2120_0_1107_17507_1,{'General'},394
7_1391_1897_0_1091_28805_1,{'General'},3525
7_1531_2498_0_1082_20004_1,{'General'},1331
7_101_866_0_1107_17506_1,{'General'},979
7_1386_1437_0_1082_20002_1,{'General'},1584
7_27_419_0_33_900_133,{'Sports'},841
7_1502_2838_0_1031_5311_1,{'General'},454
7_19_668_0_1031_5310_1,{'General'},1536
7_22_782_0_1089_12030_1,{'Children'},267
7_26_839_0_5_764_133,{'General'},83
7_1536_2959_0_1091_28800_1,"{'General', 'Music', 'Children'}",1525
7_1399_2121_0_1107_17508_1,{'General'},457
7_19_669_0_1031_5311_1,{'General'},1511
7_1566_3143_0_1021_28336_1,{'General'},31
7_1415_1869_0_7_65_133,{'Music'},171
7_1496_2812_0_1019_10301_1,{'General'},163
7_1411_1577_0_33_900_133,{'Sports'},733
7_1550_3001_0_1201_28385_1,{'General'},32
